구 분,2019년,2020년,2021년,2022년,2023년
국도,"17,502","11,924","13,604","20,883","28,780"
고속도로,"1,866","1,584","1,194","1,265","1,045"
지방도,"1,230",906,"3,710","7,494","6,439"
시·군·구도,716,689,"16,715","30,711","38,432"
기타 도로,83,4,"2,038","3,636","4,582"
합계,"21,397","15,107","37,261","63,989","79,278"
